,City Name,City ID,Temperature,Max Temp,Humidity,Lat,Lng,Cloudiness,Wind Speed
0,Karratha,6620339,98.91,98.91,14,-20.74,116.85,0,4.16
1,Hithadhoo,1282256,82.35,82.35,80,-0.6,73.08,95,16.51
2,Albany,5106834,50.52,54.0,71,42.65,-73.75,90,8.05
3,Moree,2156927,75.61,75.99,36,-29.46,149.84,26,9.17
4,Kupino,1501365,43.98,43.98,53,54.36,77.31,0,11.86
5,Vaini,1273574,69.8,69.8,100,15.34,74.49,40,0.65
6,Avarua,4035715,78.8,78.8,61,-21.21,-159.78,33,8.05
7,Faya,110690,63.54,64.4,51,18.39,42.45,0,2.59
8,Hobart,2163355,76.77,81.0,23,-42.88,147.33,0,5.82
9,Wilhelmshaven,2808720,50.34,52.0,93,53.53,8.11,75,5.82
10,Santiago del Estero,3835869,55.34,55.34,38,-27.8,-64.26,0,7.16
11,Evreux,3019265,38.62,41.0,93,49.02,1.15,0,2.24
12,Buritis,3468732,75.46,75.46,38,-15.62,-46.42,0,1.07
13,Baykit,1510689,35.97,35.97,99,61.68,96.39,100,5.73
14,Upata,3625710,71.5,71.5,95,8.02,-62.41,86,4.7
15,Kendari,1640344,88.06,88.06,51,-3.99,122.52,33,4.32
16,Belyy Yar,1510377,28.4,28.4,86,53.6,91.39,0,4.99
17,Broome,2656067,41.54,46.0,86,52.47,1.45,1,6.8
18,Jaru,3925040,77.58,77.58,74,-10.43,-62.48,0,3.98
19,Nisia Floresta,3393922,73.4,73.4,94,-6.09,-35.21,0,5.82
20,Mataura,6201424,46.99,46.99,90,-46.19,168.86,86,5.99
21,Marawi,1701054,84.0,84.0,77,8.0,124.29,14,5.01
22,Port Alfred,964432,63.0,63.0,90,-33.59,26.89,32,8.01
23,Arraial do Cabo,3471451,69.8,69.8,88,-22.97,-42.02,20,17.22
24,Novouzensk,517739,50.82,50.82,84,50.46,48.14,0,3.65
25,Rudnogorsk,2017378,33.07,33.07,96,57.27,103.75,100,9.82
26,San Juan,3837213,40.05,40.05,30,-31.54,-68.53,53,1.9
27,Leningradskiy,2123814,29.11,29.11,92,69.38,178.42,100,12.82
28,Torbay,6167817,40.12,42.01,86,47.66,-52.73,90,11.41
29,Hokitika,2206894,51.16,51.16,60,-42.72,170.96,0,9.42
30,New Norfolk,2155415,76.24,81.0,23,-42.78,147.06,0,5.82
31,Mahina,2460755,75.95,75.95,75,13.76,-10.85,100,3.89
32,Esil,1524296,44.27,44.27,43,51.96,66.41,100,7.34
33,Tuatapere,2180815,46.99,46.99,90,-46.13,167.69,67,5.99
34,Touros,3386213,73.4,73.4,88,-5.2,-35.46,0,4.7
35,Busselton,2075265,61.0,61.0,91,-33.64,115.35,100,1.99
36,Ugoofaaru,1337619,83.27,83.27,71,5.67,73.0,45,7.36
37,Den Helder,2757220,51.55,55.4,71,52.96,4.76,40,10.29
38,Kapaa,5848280,83.23,86.0,74,22.08,-159.32,75,18.34
39,Saint Stephen,5044407,45.3,46.99,100,45.7,-94.27,90,10.22
40,Iqaluit,5983720,33.42,33.8,86,63.75,-68.52,40,10.29
41,Aswan,359792,78.8,78.8,24,24.09,32.9,0,6.93
42,Chegdomyn,2025579,46.7,46.7,53,51.13,133.04,38,6.67
43,Dingle,1714733,85.61,85.61,67,11.0,122.67,89,5.17
44,Pevek,2122090,29.27,29.27,72,69.7,170.27,100,7.85
45,Rikitea,4030556,64.39,64.39,76,-23.12,-134.97,90,9.8
46,Jamestown,2069194,83.45,83.45,19,-33.21,138.6,12,1.45
47,Jizan,105299,84.2,84.2,83,16.89,42.56,20,5.82
48,Punta Arenas,3874787,41.95,42.8,70,-53.16,-70.91,0,17.22
49,Goulburn,2164837,78.33,80.01,31,-34.75,149.72,0,1.99
50,Guarapari,3461888,69.93,70.0,88,-20.67,-40.5,75,4.7
51,Nemuro,2128975,64.4,64.4,88,43.32,145.57,75,11.41
52,Pozo Colorado,3437443,60.92,60.92,83,-23.49,-58.8,100,6.29
53,Provideniya,4031574,39.2,39.2,80,64.42,-173.23,75,17.9
54,Lazaro Cardenas,3996234,74.26,75.2,64,28.39,-105.62,20,8.05
55,Isla Mujeres,3526756,80.35,80.6,88,21.23,-86.73,40,2.24
56,Butaritari,2110227,84.87,84.87,59,3.07,172.79,100,2.44
57,Mpika,905846,63.53,63.53,86,-11.84,31.4,71,12.44
58,Mar del Plata,3863379,46.48,46.48,37,-46.43,-67.52,0,7.56
59,Ayame,2292542,72.4,72.4,98,5.61,-3.16,90,1.28
60,Cape Town,3369157,57.51,60.01,82,-33.93,18.42,40,5.82
61,Lunca Banului,674439,61.63,62.6,82,46.6,28.17,0,9.17
62,San Patricio,3437029,67.31,67.31,94,-26.98,-56.83,100,6.38
63,Bambous Virieux,1106677,72.7,73.4,94,-20.34,57.76,75,8.05
64,Murakami,1856434,75.16,77.0,61,38.29,139.58,75,3.36
65,Divnogorsk,1507379,42.8,42.8,52,55.96,92.38,0,11.18
66,Qaanaaq,3831208,21.19,21.19,71,77.48,-69.36,26,4.09
67,Bluff,2175403,80.75,80.75,29,-23.58,149.07,0,13.24
68,Banda Aceh,1215502,80.75,80.75,80,5.56,95.32,70,15.26
69,Acevedo,3690552,58.59,58.59,95,1.81,-75.89,100,2.93
70,Saint-Augustin,6138501,43.65,46.99,80,45.63,-73.98,20,7.45
71,Hamilton,5969785,53.56,55.99,87,43.26,-79.87,90,18.34
72,Yumen,1528998,56.54,56.54,22,40.29,97.04,93,17.94
73,Chodavaram,1274021,78.8,78.8,94,17.44,81.78,75,2.71
74,Ambunti,2100933,94.4,94.4,50,-4.22,142.82,61,1.36
75,Canutama,3664716,79.13,79.13,66,-6.53,-64.38,29,1.12
76,Atuona,4020109,80.09,80.09,72,-9.8,-139.03,24,8.16
77,Slonim,621754,47.42,47.42,92,53.09,25.32,100,13.13
78,Port Hedland,2063042,100.4,100.4,12,-20.31,118.58,0,12.75
79,Lompoc,5367788,63.01,68.0,51,34.64,-120.46,1,6.93
80,Seoul,1835848,74.39,77.0,69,37.57,126.98,20,4.7
81,Ken Caryl,5427207,51.6,57.0,66,39.58,-105.11,1,11.41
82,Bredasdorp,1015776,50.0,50.0,93,-34.53,20.04,36,3.36
83,Vestmannaeyjar,3412093,47.74,47.74,75,63.44,-20.27,100,47.51
84,Saldanha,2737599,55.57,55.57,62,41.42,-6.55,100,1.3
85,Lorengau,2092164,82.91,82.91,75,-2.02,147.27,87,2.28
86,Fortuna,5563839,55.53,57.0,71,40.6,-124.16,1,9.17
87,Hasaki,2112802,79.93,84.0,69,35.73,140.83,75,8.05
88,Tecoanapa,3532499,84.2,84.2,74,16.99,-99.26,75,6.93
89,Manokwari,1636308,79.13,79.13,72,-0.87,134.08,16,4.85
90,Port Macquarie,2152659,78.69,82.0,44,-31.43,152.91,0,10.29
91,Chilca,3934055,53.6,53.6,50,-13.22,-72.34,75,5.82
92,La Ronge,6050066,41.0,41.0,81,55.1,-105.3,5,6.93
93,Roebourne,2062276,99.92,99.92,13,-20.77,117.15,0,2.01
94,Muros,3115824,53.24,57.0,93,42.77,-9.06,67,2.24
95,Dikson,1507390,26.52,26.52,70,73.51,80.55,100,24.36
96,Airai,1651810,93.57,93.57,32,-8.93,125.41,0,3.29
97,Ponta do Sol,3453439,71.37,71.37,51,-20.63,-46.0,0,3.04
98,Matata,2187175,59.2,61.0,39,-37.89,176.76,100,5.01
99,Chokurdakh,2126123,27.04,27.04,88,70.62,147.9,97,12.86
100,Samarai,2132606,76.11,76.11,92,-10.62,150.67,100,8.34
101,Rocha,3440777,49.38,49.38,82,-34.48,-54.34,83,10.83
102,Cherskiy,2126199,27.85,27.85,56,68.75,161.3,0,16.93
103,Nome,4732862,78.91,84.0,83,30.04,-94.42,1,3.36
104,Taoudenni,2450173,86.84,86.84,11,22.68,-3.98,0,3.88
105,Chuy,3443061,56.88,56.88,76,-33.69,-53.46,97,18.07
106,Castro,3896218,37.4,37.4,94,-42.48,-73.76,0,6.93
107,Mahebourg,934322,72.66,73.4,94,-20.41,57.7,75,8.05
108,Hualmay,3939761,61.24,61.24,91,-11.1,-77.61,10,14.94
109,Goes,2755476,50.52,55.4,71,51.5,3.89,8,13.87
110,Mount Lebanon,5202215,73.26,77.0,100,40.38,-80.05,90,3.74
111,Ciego de Avila,3564178,72.89,72.89,97,21.84,-78.76,99,8.23
112,Amazar,2027806,40.2,40.2,47,53.86,120.88,37,2.44
113,Sola,151211,68.24,68.24,67,-3.17,33.8,65,6.49
114,Porosozero,506232,32.06,32.06,89,62.72,32.71,100,9.31
115,Fukue,1848373,82.17,82.4,61,35.03,136.69,40,19.46
116,Upernavik,3418910,37.19,37.19,68,72.79,-56.15,100,10.69
117,Gobabis,3357247,54.6,54.6,17,-22.45,18.97,0,5.97
118,Waipawa,2185329,55.99,55.99,57,-39.94,176.59,100,8.01
119,Puerto Ayora,3652764,68.0,68.0,88,-0.74,-90.35,47,7.0
120,Naron,3115739,53.55,55.99,100,43.52,-8.15,100,3.36
121,Alofi,4036284,82.4,82.4,74,-19.06,-169.92,75,6.93
122,Constitucion,4011743,61.12,64.0,77,23.99,-104.67,90,9.17
123,Mayumba,2399001,76.11,76.11,82,-3.44,10.65,100,7.09
124,Maniitsoq,3421982,42.54,42.54,53,65.42,-52.9,62,13.68
125,Tasiilaq,3424607,41.0,41.0,56,65.61,-37.64,100,32.21
126,East London,1006984,66.41,66.41,26,-33.02,27.91,67,5.28
127,Blackwater,2639577,37.99,44.01,93,51.33,-0.78,100,2.24
128,Port-Cartier,6111696,39.38,39.99,69,50.03,-66.88,90,6.93
129,Severnoye,496381,45.6,45.6,94,54.09,52.54,100,10.8
130,Mangai,2313084,69.61,69.61,91,-4.07,19.59,97,1.12
131,Aklavik,5882953,42.8,42.8,75,68.22,-135.01,90,6.93
132,Clyde River,5924351,32.0,32.0,98,70.47,-68.59,90,6.93
133,Ibra,287832,77.08,77.08,66,22.69,58.55,0,4.81
134,Skjervoy,777682,40.13,40.13,63,70.03,20.97,65,8.19
135,Tura,2014833,35.32,35.32,96,64.27,100.22,100,7.09
136,Bitkine,2435124,76.13,76.13,77,11.98,18.21,99,4.79
137,Qaqortoq,3420846,51.8,51.8,32,60.72,-46.03,100,33.33
138,Viet Tri,1562820,73.4,73.4,94,21.3,105.43,75,5.82
139,Saskylakh,2017155,19.39,19.39,76,71.97,114.09,4,0.87
140,Robertsport,2274275,75.26,75.26,92,6.75,-11.37,100,5.01
141,Saint George,262462,60.44,62.6,72,39.45,22.34,20,5.82
142,Lavrentiya,4031637,34.98,34.98,80,65.58,-170.99,62,13.53
143,Bilibino,2126682,13.81,13.81,89,68.06,166.44,100,5.37
144,Irece,3461013,66.1,66.1,85,-11.3,-41.86,34,11.48
145,Akropong,2305027,75.2,75.2,94,5.97,-0.09,20,4.7
146,Sao Joao da Barra,3448903,65.27,65.27,97,-21.64,-41.05,5,1.54
147,Erenhot,2037485,50.44,50.44,74,43.65,111.97,100,20.17
148,Bundaberg,2173323,75.6,78.01,40,-24.87,152.35,0,12.75
149,Tiksi,2015306,24.57,24.57,87,71.64,128.87,100,27.38
150,Auki,2339937,72.9,72.9,89,12.18,6.51,29,6.76
151,Lubao,211098,70.15,70.15,84,-5.39,25.75,6,1.57
152,Puerto Concordia,3792395,72.9,72.9,96,2.62,-72.76,68,1.81
153,Melfi,3173615,66.2,66.2,82,41.0,15.66,75,2.24
154,Jilib,56166,72.89,72.89,94,0.49,42.79,97,4.18
155,Saint-Philippe,6138908,43.45,46.4,81,45.36,-73.48,1,4.7
156,Nara,1855612,80.78,82.99,57,34.68,135.8,75,4.7
157,Norman Wells,6089245,46.4,46.4,93,65.28,-126.83,90,4.45
158,Salalah,286621,78.8,78.8,83,17.01,54.1,75,3.36
159,Almeirim,3407903,75.42,75.42,81,-1.53,-52.58,72,2.26
160,Todos Santos,3981432,78.84,81.0,69,23.45,-110.23,20,8.05
161,Ifakara,159492,68.8,68.8,91,-8.13,36.68,0,0.63
162,Narsaq,3421719,51.8,51.8,32,60.91,-46.05,100,33.33
163,Gumdag,161943,61.31,61.31,22,39.2,54.59,0,8.01
164,Concordia,3435261,57.0,57.0,84,-31.4,-58.02,87,15.01
165,Hermanus,3366880,57.0,57.0,89,-34.42,19.24,0,6.89
166,Kjollefjord,779261,38.31,38.31,72,70.95,27.35,100,16.67
167,Lebu,344979,55.4,55.4,87,8.96,38.73,40,4.7
168,Srednekolymsk,2121025,29.04,29.04,88,67.46,153.71,100,21.07
169,Bathsheba,3374083,82.4,82.4,74,13.22,-59.52,40,14.99
170,Souillac,3026644,52.05,53.6,87,45.6,-0.6,0,2.24
171,Yaan,2338660,71.77,71.77,95,7.38,8.57,68,2.17
172,Carnarvon,1014034,49.65,49.65,31,-30.97,22.13,61,2.46
173,Hengshui,1808392,86.85,86.85,35,37.73,115.7,0,5.88
174,Havoysund,779622,35.6,35.6,89,71.0,24.66,75,18.34
175,Codrington,2160063,75.85,78.01,36,-28.95,153.24,0,1.12
176,Tahe,2034615,40.74,40.74,28,52.34,124.71,0,6.82
177,Kaitangata,2208248,52.0,52.0,55,-46.28,169.85,81,5.99
178,Canavieiras,3467577,69.54,69.54,90,-15.68,-38.95,16,2.98
179,San Jose,3602137,77.0,77.0,73,14.25,-87.96,75,9.17
180,Parana,3663516,75.24,75.24,76,-7.52,-72.89,61,0.92
181,Woodward,4556050,62.33,64.4,82,36.43,-99.39,75,8.05
182,Astara,142676,48.25,60.8,87,38.42,48.87,40,4.7
183,Tuyen Quang,1563287,79.74,79.74,85,21.82,105.22,91,2.59
184,Coihaique,3894426,37.4,37.4,69,-45.58,-72.07,0,1.12
185,Bani,34915,87.75,87.75,67,16.02,42.93,0,4.23
186,Cabo San Lucas,3985710,78.89,81.0,69,22.89,-109.91,20,8.05
187,Ndioum,2247684,83.72,83.72,69,16.51,-14.65,93,9.28
188,Khatanga,2022572,23.82,23.82,68,71.98,102.47,0,8.46
189,Salvador,3450554,73.4,73.4,83,-12.98,-38.48,90,10.29
190,Traverse City,5012495,49.73,53.6,81,44.76,-85.62,90,11.41
191,Mercedes,3441684,55.99,55.99,73,-33.25,-58.03,9,30.0
192,Severo-Kurilsk,2121385,48.01,48.01,96,50.68,156.12,100,14.41
193,Avera,4231997,79.79,84.99,69,33.19,-82.53,1,4.56
194,Pisco,3932145,63.28,64.0,82,-13.71,-76.2,2,8.05
195,Alibag,1279027,80.6,80.6,83,18.64,72.88,20,3.36
196,Walvis Bay,3359638,55.4,55.4,93,-22.95,14.51,0,10.29
197,Mbandaka,2312895,68.75,68.75,98,0.05,18.26,62,2.57
198,Klaksvik,2618795,42.8,42.8,81,62.23,-6.59,5,2.24
199,Ahipara,2194098,63.0,63.0,72,-35.17,173.16,100,15.5
200,Flin Flon,5954718,34.33,34.33,84,54.77,-101.88,40,4.72
201,Monroe,5002344,57.07,63.0,87,41.91,-83.4,90,5.82
202,Ardesen,751949,66.2,66.2,59,41.19,40.99,0,20.8
203,Bhatkal,1276067,80.79,80.79,80,13.97,74.57,8,2.66
204,Denpasar,1645528,82.4,82.4,83,-8.65,115.22,20,9.17
205,Nanortalik,3421765,41.48,41.48,75,60.14,-45.24,100,1.52
206,Kasungu,928534,66.66,66.66,79,-13.04,33.48,0,11.06
207,Poum,787487,51.8,51.8,87,41.28,20.71,40,4.7
208,Georgetown,3378644,77.0,77.0,94,6.8,-58.16,0,4.7
209,Garissa,197745,74.52,74.52,76,-0.46,39.64,98,11.95
210,Dalvik,2702977,41.61,42.01,93,57.79,14.13,100,10.29
211,Basco,4863349,68.95,75.2,93,40.33,-91.2,90,4.7
212,Gat,2249901,75.2,75.2,83,14.69,-16.54,20,6.93
213,Apollonia,736694,65.95,69.01,77,40.64,23.49,20,5.82
214,Soure,2733851,55.63,64.99,77,40.06,-8.63,63,8.12
215,Shiyan,1794903,80.01,80.01,36,32.65,110.78,54,3.0
216,Ossora,2122389,39.15,39.15,73,59.24,163.07,70,12.12
217,Tuktoyaktuk,6170031,35.6,35.6,93,69.44,-133.03,90,12.75
218,Elko,5703670,49.05,57.2,26,40.83,-115.76,1,9.17
219,Los Llanos de Aridane,2514651,77.43,82.99,88,28.66,-17.92,75,10.29
220,Zhigansk,2012530,27.6,27.6,64,66.77,123.37,23,3.74
221,Nouadhibou,2377457,84.2,84.2,45,20.93,-17.03,36,16.11
222,Belmonte,8010472,48.7,53.01,93,40.36,-7.35,69,2.1
223,Broken Hill,2173911,86.0,86.0,10,-31.97,141.45,0,21.92
224,Plastun,2017912,71.57,71.57,45,44.76,136.29,100,5.19
225,Port Hardy,6111862,50.0,50.0,93,50.7,-127.42,90,13.87
226,Henties Bay,3356832,57.23,57.23,93,-22.12,14.28,0,7.87
227,Humaita,3838233,57.52,59.0,36,-24.93,-65.37,0,3.36
228,Drochia,618370,58.81,58.81,76,48.03,27.81,99,8.43
229,Novyy Urengoy,1496511,46.1,46.1,93,66.08,76.63,100,13.38
230,Srandakan,1626493,77.48,77.48,84,-7.94,110.25,82,9.06
231,Longyearbyen,2729907,35.6,35.6,74,78.22,15.63,75,18.34
232,Hofn,2630299,46.77,46.77,74,64.25,-15.21,100,17.97
233,Karpogory,552256,30.71,30.71,90,64.0,44.44,46,6.35
234,Mount Gambier,2156643,57.2,57.2,87,-37.83,140.78,90,12.75
235,Faanui,4034551,77.78,77.78,78,-16.48,-151.75,9,14.76
236,Lamar,5427957,57.2,57.2,71,38.09,-102.62,1,8.05
237,Barrow,3833859,36.2,36.2,78,-38.31,-60.23,0,7.31
238,Vila,3164565,58.62,64.99,27,45.18,8.4,0,21.92
239,Karasjok,779350,37.4,37.4,69,69.47,25.52,53,17.22
240,Beringovskiy,2126710,36.45,36.45,64,63.05,179.32,95,3.09
241,Katsuura,1865309,76.64,78.8,78,33.93,134.5,75,34.45
242,Kulhudhuffushi,1337613,82.48,82.48,73,6.62,73.07,1,10.2
243,Ust-Maya,2013918,32.37,32.37,50,60.42,134.54,100,9.82
244,Mujiayingzi,2035707,52.91,52.91,79,42.12,118.78,99,6.8
245,Dilijan,616752,44.63,44.63,81,40.74,44.87,0,1.95
246,Kavaratti,1267390,82.46,82.46,71,10.57,72.64,27,6.73
247,Point Fortin,3573899,80.42,82.4,78,10.16,-61.68,20,14.25
248,Zhanaozen,607610,55.84,55.84,26,43.35,52.85,0,10.8
249,Itarema,3393692,75.05,75.05,81,-2.92,-39.92,0,9.22
250,Ixtapa,4004293,78.91,79.0,94,20.71,-105.21,90,1.95
251,Kodinsk,1503037,39.06,39.06,94,58.6,99.18,100,9.44
252,Pangnirtung,6096551,23.26,23.26,70,66.15,-65.72,0,3.91
253,Marrakesh,2542997,68.0,68.0,68,31.63,-7.99,0,4.7
254,Laguna,3581398,78.8,78.8,94,16.17,-88.94,75,1.5
255,Omoljica,787471,60.15,62.01,93,44.76,20.73,40,10.29
256,Loukhi,533964,34.74,34.74,79,66.08,33.04,0,11.16
257,Lopukhiv,702834,54.9,54.9,77,48.37,23.97,44,3.71
258,Grand Gaube,934479,72.84,73.4,94,-20.01,57.66,75,8.05
259,Emba,146639,69.21,69.8,77,34.81,32.42,90,6.93
260,Yamada,1849876,80.06,82.0,39,36.58,137.08,75,10.29
261,Tessalit,2449893,83.9,83.9,10,20.2,1.01,66,7.14
262,Hami,1529484,59.94,59.94,21,42.84,93.51,0,7.02
263,Emerald,2167426,78.89,79.0,39,-23.53,148.16,0,12.75
264,Dillon,5648657,37.09,37.99,69,45.22,-112.64,1,8.05
265,Whitehorse,6180550,51.8,51.8,43,60.72,-135.06,75,11.41
266,Esperance,2071860,66.2,66.2,68,-33.86,121.89,40,13.87
267,Asyut,359783,75.2,75.2,57,27.18,31.19,0,6.93
268,San Gabriel,5392034,69.4,75.2,52,34.1,-118.11,1,5.82
269,Zeya,2012593,38.36,38.36,33,53.74,127.27,0,9.55
270,San Quintin,1688687,85.74,85.74,66,17.54,120.52,46,4.27
271,Sabha,2212775,76.18,76.18,20,27.03,14.43,0,12.12
272,Tabou,2281120,73.12,73.12,96,4.42,-7.36,5,2.1
273,Flinders,6255012,85.05,87.01,21,-34.58,150.85,20,13.87
274,Mahad,1264489,78.9,78.9,83,18.08,73.42,21,4.52
275,Buta,217570,69.03,69.03,99,2.79,24.73,100,2.44
276,Egvekinot,4031742,29.42,29.42,93,66.32,-179.17,100,2.48
277,Port Lincoln,2063036,57.41,57.41,84,-34.72,135.86,28,11.52
278,Salinas,5391295,62.6,69.01,45,36.67,-121.66,1,5.79
279,Maragogi,3395458,70.71,70.71,92,-9.01,-35.22,48,4.12
280,Hervey Bay,2146219,75.52,78.01,40,-25.3,152.85,0,12.75
281,Novi Bilokorovychi,698943,57.12,57.12,83,51.12,28.05,82,6.33
282,Sylacauga,4092671,81.46,86.0,54,33.17,-86.25,90,0.74
283,Muisne,3653967,75.12,75.12,83,0.61,-80.02,100,10.22
284,Atbasar,1526038,41.55,41.55,45,51.81,68.36,98,5.99
285,Tarakan,1624725,86.46,86.46,60,3.3,117.63,25,3.87
286,Brae,2654970,48.2,48.2,81,60.4,-1.35,67,9.17
287,Palencia,3114531,50.63,54.0,85,42.01,-4.53,92,1.01
288,Atlantic Beach,4146354,76.23,79.0,88,30.33,-81.4,1,4.76
289,Arak,143127,49.22,49.22,49,34.1,49.69,0,2.71
290,Verkhnyaya Inta,1487332,41.57,41.57,90,65.99,60.32,100,12.93
291,Rio Grande,3451138,59.85,59.85,90,-32.03,-52.1,100,11.3
292,Ulladulla,2145554,83.08,84.99,21,-35.36,150.48,20,13.87
293,Lincoln,2644487,40.24,44.6,93,53.23,-0.54,93,6.93
294,Isangel,2136825,80.6,80.6,54,-19.55,169.27,75,18.34
295,Inirida,3671450,74.27,74.27,98,3.87,-67.92,100,4.5
296,Port-Gentil,2396518,77.53,77.53,75,-0.72,8.78,100,8.72
297,Deputatskiy,2028164,22.27,22.27,86,69.3,139.9,100,25.52
298,Vytegra,469960,42.86,42.86,87,61.01,36.45,100,17.67
299,Grindavik,3416888,45.32,46.4,81,63.84,-22.43,90,34.45
300,Nexo,2616504,41.0,41.0,100,55.06,15.13,49,4.7
301,Sao Filipe,3374210,77.39,77.39,86,14.9,-24.5,0,10.92
302,Lagoa,2267254,61.41,62.6,72,37.14,-8.45,0,3.36
303,Shelbyville,4249857,75.78,78.01,83,39.41,-88.79,1,6.93
304,Winneba,2294034,75.2,75.2,94,5.35,-0.62,20,4.7
305,Mattawa,6067959,41.92,43.0,80,46.32,-78.7,40,4.7
306,San Luis,3837056,57.42,57.42,18,-33.3,-66.34,10,29.75
